Origem,Destino,Peso
JohnHurt,Richardfleischer,3
RichardBurton,Michaelradford,2
SuzannaHamilton,Michaelradford,2
JohnCusack,RolandEmmerich,2
AmandaPeet,Rolandemmerich,2
ChiwetelEjiofor,Rolandemmerich,2
ThandieNewton,Rolandemmerich,2
OliverPlatt,Rolandemmerich,2
TomMccarthy,Rolandemmerich,2
WoodyHarrelson,Rolandemmerich,2
DannyGlover,Rolandemmerich,2
LiamJames,Rolandemmerich,2
MorganLily,Rolandemmerich,2
ArtiwaraKongmalai,NottaponBoonprakob,2
OmarEpps,JohnSuits,2
KateWalsh,Johnsuits,2
KateWalsh,Fernandolebrija,2
MirandaCosgrove,Johnsuits,2
AngusMacfadyen,Johnsuits,2
JorjaFox,Johnsuits,2
EnverGjokaj,Johnsuits,2
HaazSleiman,Johnsuits,2
JosephGordon-levitt,PatrickVollrath,2
JosephGordon-levitt,MarcWebb,2
JosephGordon-levitt,Giljunger,2
OmidMemar,Patrickvollrath,2
CarloKitzlinger,Patrickvollrath,2
AylinTezel,Patrickvollrath,2
MurathanMuslu,Patrickvollrath,2
PaulWollin,Patrickvollrath,2
AurélieThépaut,Patrickvollrath,2
PassarHariky,Patrickvollrath,2
DenisSchmidt,Patrickvollrath,2
MaxSchimmelpfennig,Patrickvollrath,2
AnnaSuk,Patrickvollrath,2
AndersDanielsenLie,PaulGreengrass,2
JonØigarden,Paulgreengrass,2
JonasStrandGravli,Paulgreengrass,2
OlaG.Furuseth,Paulgreengrass,2
MariaBock,Paulgreengrass,2
ThorbjørnHarr,Paulgreengrass,2
JadenSmith,Paulgreengrass,2
RahulPethe,SwapnaneelJayakar,2
MrunmayeeDeshpande,Swapnaneeljayakar,2
AdinathKothare,Swapnaneeljayakar,2
VaibhavMangale,Swapnaneeljayakar,2
JaywantWadkar,Swapnaneeljayakar,2
SatishPulekar,Swapnaneeljayakar,2
NainaApte,Swapnaneeljayakar,2
UdayTikekar,Swapnaneeljayakar,2
MeenakshiVinayRai,MeenakshiVinayRai,2
SadiqDaba,KunleAfolayan,2
DavidBailie,Kunleafolayan,2
KayodeOlaiya,Kunleafolayan,2
KehindeBankole,Kunleafolayan,2
FabianAdeoyeLojede,Kunleafolayan,2
NickRhys,Kunleafolayan,2
KunleAfolayan,Kunleafolayan,2
ColinDavidReese,Kunleafolayan,2
IbrahimShatta,Kunleafolayan,2
FemiAdebayo,Kunleafolayan,2
KanayoO.Kanayo,Kunleafolayan,2
LawrenceStubbings,Kunleafolayan,2
AdemolaAdedoyin,Kunleafolayan,2
ShabeerKallarakkal,RagavendraPrasad,2
Aarvin,Ragavendraprasad,2
Pavithra,Ragavendraprasad,2
Rohini,Ragavendraprasad,2
RaviRaghavendra,Ragavendraprasad,2
RamseyNouah,IzuOjukwu,2
RitaDominic,Izuojukwu,2
ChidiMokeme,Izuojukwu,2
IbinaboFiberesima,Izuojukwu,2
DanielK.Daniel,Izuojukwu,2
MemrySavanhu,Izuojukwu,2
AdonijahOwiriwa,Izuojukwu,2
PatNebo,Izuojukwu,2
NellyEkwereogu,Izuojukwu,2
ShuaibuEbenesiAdams,Izuojukwu,2
DeboOguns,Izuojukwu,2
BenNwosu,Izuojukwu,2
AdaOfoegbu,Izuojukwu,2
GeetanjaliThapa,Onir,2
ZainKhanDurrani,Onir,2
ShrayRaiTiwari,Onir,2
MonaAmbegaonkar,Onir,2
ChandreyeeGhosh,Onir,2
BarunChanda,Onir,2
SahebBhattacharjee,Onir,2
ShefaliChauhan,Onir,2
Samuthirakani,VijayMilton,2
BharathSeeni,Vijaymilton,2
Vinoth,Vijaymilton,2
EsakkiBarath,Vijaymilton,2
ChembanVinodJose,Vijaymilton,2
GauthamMenon,Vijaymilton,2
KrishaKurup,Vijaymilton,2
Subiksha,Vijaymilton,2
AdilHussain,SantwanaBardoloi,2
ShakilImtiaz,Santwanabardoloi,2
MahendraRabha,Santwanabardoloi,2
SulakshanaBaruah,Santwanabardoloi,2
RahulGautamSarma,Santwanabardoloi,2
KuladaBhattacharjya,Santwanabardoloi,2
InduMohanDas,Santwanabardoloi,2
MoumitaTalukdar,Santwanabardoloi,2
SoumitraChatterjee,AtanuGhosh,2
PrasenjitChatterjee,Atanughosh,2
IndraniHaldar,Atanughosh,2
SudiptaChakraborty,Atanughosh,2
SumanBanerjee,Atanughosh,2
GargiRoychowdhury,Atanughosh,2
UdayKrishna,NishiChawla,2
BethanyRishell,Nishichawla,2
LucyBond,Nishichawla,2
SanjayKumar,Nishichawla,2
ZooeyDeschanel,Marcwebb,2
GeoffreyArend,Marcwebb,2
YooAh-in,ChoIl,2
ParkShin-hye,Choil,2
HelenMirren,SabinaFedeli,2
HelenMirren,AnnaMigotto,2
GengherGatti,Sabinafedeli,2
GengherGatti,Annamigotto,2
AdipatiDolken,RakoPrijanto,2
VaneshaPrescilla,Rakoprijanto,2
RendiJhon,Rakoprijanto,2
BebyTsabina,Rakoprijanto,2
DeniraWiraguna,Rakoprijanto,2
RefalHady,Rakoprijanto,2
DiandraAgatha,Rakoprijanto,2
SariNila,Rakoprijanto,2
MawarDeJongh,Rakoprijanto,2
VonnyCornellya,Rakoprijanto,2
ClayGribble,Rakoprijanto,2
IvanLeonardy,Rakoprijanto,2
SarahSechan,Rakoprijanto,2
JourdyPranata,Rakoprijanto,2
Indrans,RojinThomas,3
SreenathBhasi,Rojinthomas,3
VijayBabu,Rojinthomas,3
ManjuPillai,Rojinthomas,3
Neslin,Rojinthomas,3
KainakaryThankaraj,Rojinthomas,3
KpacLalitha,Rojinthomas,3
SrikanthMurali,Rojinthomas,3
JohnyAntony,Rojinthomas,3
PaulyWilson,Rojinthomas,3
ManiyanPillaiRaju,Rojinthomas,3
AnoopMenon,Rojinthomas,3
AjuVarghese,Rojinthomas,3
KiranAravindhakshan,Rojinthomas,3
Chithra,Rojinthomas,3
PriyankaNair,Rojinthomas,3
TomPelphrey,BrendanGabrielMurphy,2
NatalieHall,Brendangabrielmurphy,2
"Cliff""methodMan""Smith",Brendangabrielmurphy,2
MalcolmGoodwin,Brendangabrielmurphy,2
JoeyRusso,Brendangabrielmurphy,2
NestaCooper,FernandoLebrija,2
JohnMichaelHiggins,Fernandolebrija,2
KeithPowers,Fernandolebrija,2
AliciaSanz,Fernandolebrija,2
JakeBorelli,Fernandolebrija,2
KidInk,Fernandolebrija,2
YousefErakat,Fernandolebrija,2
RebekahGraf,Fernandolebrija,2
AnneWinters,Fernandolebrija,2
PeterGilroy,Fernandolebrija,2
PatrickDavis,Fernandolebrija,2
JakeShort,MichaelKennedy,2
SarahFisher,Michaelkennedy,2
BoobooStewart,Michaelkennedy,2
DannyTrejo,Michaelkennedy,2
PippaMackie,Michaelkennedy,2
JakeSmith,Michaelkennedy,2
PatriciaZentilli,Michaelkennedy,2
CarterThicke,Michaelkennedy,2
FlaviaHojda,CristinaJacob,2
FlaviaHojda,Cristinajacob,3
CrinaSemciuc,Cristinajacob,3
OlimpiaMelinte,Cristinajacob,3
SaliLevent,Cristinajacob,3
VladLogigan,Cristinajacob,3
AlexCălin,Cristinajacob,3
AlinaChivulescu,Cristinajacob,2
RăzvanVasilescu,Cristinajacob,2
MaiaMorgenstern,CristinaJacob,2
MariaDinulescu,Cristinajacob,2
SilviaBusuioc,Cristinajacob,2
MihaelaMihut,Cristinajacob,2
GeorgeConway,DanPartland,2
AnthonyScaramucci,Danpartland,2
BillKristol,Danpartland,2
MalcolmNance,Danpartland,2
RuthBen-ghiat,Danpartland,2
EstefaníaDeLosSantos,FrankAriza,2
SecunDeLaRosa,Frankariza,2
TerelePávez,Frankariza,2
MaríaAlfonsaRosso,Frankariza,2
MariolaFuentes,Frankariza,2
AlfonsoSánchez,Frankariza,2
PazVega,Frankariza,2
PazVega,Bradsilberling,2
MartaTorné,Frankariza,2
ConchaGalán,Frankariza,2
ErdemYener,MuharremGülmez,2
AyhanTaş,Muharremgülmez,2
EminOlcay,Muharremgülmez,2
MuharremGülmez,Muharremgülmez,2
ElifNurKerkük,Muharremgülmez,2
TarıkPapuççuoğlu,Muharremgülmez,2
SuzanAksoy,Muharremgülmez,2
DoğaKonakoğlu,Muharremgülmez,2
EsinEden,Muharremgülmez,2
DenizÖzerman,Muharremgülmez,2
JóhannesHaukurJóhannesson,ÓskarThórAxelsson,2
ÁgústaEvaErlendsdóttir,Óskarthóraxelsson,2
ElmaStefaniaAgustsdottir,Óskarthóraxelsson,2
ThorKristjansson,Óskarthóraxelsson,2
AnnaGunndísGuðmundsdóttir,Óskarthóraxelsson,2
SaraDöggÁsgeirsdóttir,Óskarthóraxelsson,2
ÞrösturLeóGunnarsson,Óskarthóraxelsson,2
JóhannSigurðarson,Óskarthóraxelsson,2
SveinnGeirsson,Óskarthóraxelsson,2
ArnarPállHarðarson,Óskarthóraxelsson,2
AyçaErturan,OzanAçıktan,2
AydanTaş,Ozanaçıktan,2
AyşegülAkdemir,Ozanaçıktan,2
BurcuGönder,Ozanaçıktan,2
BülentEmrahParlak,Ozanaçıktan,2
BüşraPekin,Ozanaçıktan,2
EmreCanpolat,Ozanaçıktan,2
ErsinKorkut,Ozanaçıktan,2
EserYenenler,Ozanaçıktan,2
GizemTuğral,Ozanaçıktan,2
GülhanTekin,Ozanaçıktan,2
GülsümAlkan,Ozanaçıktan,2
HamdiKahraman,Ozanaçıktan,2
İbrahimBüyükak,Ozanaçıktan,2
MetinKeçeci,Ozanaçıktan,2
BeverlyOsu,KennethGyang,2
SharonOoja,Kennethgyang,2
OmowunmiDada,Kennethgyang,2
PearlOkorie,Kennethgyang,2
WofaiSamuel,Kennethgyang,2
IkechukwuOnunaku,Kennethgyang,2
KemiLalaAkindoju,Kennethgyang,2
BlossomChukwujekwu,Kennethgyang,2
AdebukolaOladipupo,Kennethgyang,2
OmoniOboli,Kennethgyang,2
SegunArinze,Kennethgyang,2
AdaAmeh,Kennethgyang,2
SambasaNzeribe,Kennethgyang,2
PatrickDoyle,Kennethgyang,2
GregoryOjefua,Kennethgyang,2
CharlizeTheron,KarynKusama,2
MartonCsokas,Karynkusama,2
JonnyLeeMiller,Karynkusama,2
SophieOkonedo,Karynkusama,2
FrancesMcdormand,Karynkusama,2
PetePostlethwaite,Karynkusama,2
AmeliaWarner,Karynkusama,2
CarolineChikezie,Karynkusama,2
NikolaiKinski,Karynkusama,2
PatersonJoseph,Karynkusama,2
YangzomBrauen,Karynkusama,2
LexiGiovagnoli,AdamDeyoe,2
JustinRay,Adamdeyoe,2
RaeLatt,Adamdeyoe,2
PoonamBasu,Adamdeyoe,2
TeresaBiter,Adamdeyoe,2
KalilahHarris,Adamdeyoe,2
AlexiaDox,Adamdeyoe,2
AdamPowell,Adamdeyoe,2
SeanMcbride,Adamdeyoe,2
BillyCrudup,LeifTilden,2
GrahamRogers,Leiftilden,2
LianaLiberato,Leiftilden,2
StefanieScott,Leiftilden,2
TimRoth,Leiftilden,2
MelanieLynskey,Leiftilden,2
ThomasCocquerel,Leiftilden,2
PeterCoyote,Leiftilden,2
LauraAshleySamuels,PenelopeLawson,2
JennaUshkowitz,Penelopelawson,2
AlexandraDaddario,Penelopelawson,2
ShanleyCaswell,TomMorash,2
JeffDye,Tommorash,2
RomeFlynn,Tommorash,2
MarcGordon,Tommorash,2
AlexisIacono,Tommorash,2
JohnLerardi,Tommorash,2
AftonJillian,Tommorash,2
BrookeLewis,Tommorash,2
JermaineAlverezMartin,Tommorash,2
DrewMcanany,Tommorash,2
AmyPaffrath,Tommorash,2
AshleyPlatz,Tommorash,2
MattSchulte,Tommorash,2
RebeccaVinargo,Tommorash,2
BoYoungblood,Tommorash,2
JenaMalone,MichaelC.Martin,2
JtAlexander,Michaelc.martin,2
DamonAlexander,Michaelc.martin,2
JoeMantegna,Michaelc.martin,2
ThomasIanNicholas,Michaelc.martin,2
AyoMakun,AdzeUgah,2
AdesuaEtomi,Adzeugah,2
RichardMofe-damijo,Adzeugah,2
MercyJohnson,Adzeugah,2
Falz,Adzeugah,2
TufaceIdibia,Adzeugah,2
ThenjiweMoseley,Adzeugah,2
MotlatsiMafatshe,Adzeugah,2
CelesteNtuli,Adzeugah,2
MiguelA.NúñezJr.,Adzeugah,2
Vikram,VijayMilton,2
SamanthaRuthPrabhu,Vijaymilton,2
Pasupathy,Vijaymilton,1
RahulDev,Vijaymilton,2
AbhimanyuSingh,Vijaymilton,2
LuisLobianco,CrisD’amato,2
GiuliaBenite,Crisd’amato,2
PedroMiranda,Crisd’amato,2
LorenaQueiroz,Crisd’amato,2
KarinaRamil,Crisd’amato,2
MorganFreeman,BradSilberling,2
JonahHill,Bradsilberling,2
FranckDubosc,NicolasBrossette,2
ClaudeRich,Nicolasbrossette,2
MarieKremer,Nicolasbrossette,2
MathisTouré,Nicolasbrossette,2
Rufus,Nicolasbrossette,2
OlivierClaverie,Nicolasbrossette,2
Anne-marieNewland,JimWilmer,2
Anne-marieNewland,MarkKnight,3
MichaelChiklis,BrianA.Miller,3
BruceWillis,Briana.miller,3
MeadowWilliams,Briana.miller,3
KyleSchmid,Briana.miller,3
LydiaHull,Briana.miller,3
LalaKent,Briana.miller,2
TexasBattle,Briana.miller,2
SwenTemmel,Briana.miller,2
JohnHickman,Briana.miller,2
SergioRizzuto,Briana.miller,2
TylerJonOlson,Briana.miller,2
RichardAttenborough,RichardFleischer,2
JudyGeeson,Richardfleischer,2
RobertHardy,Richardfleischer,2
HeathLedger,GilJunger,2
JuliaStiles,Giljunger,2
LarisaOleynik,Giljunger,2
LarisaOleynik,Michaeldavis,2
DavidKrumholtz,Giljunger,2
AndrewKeegan,Giljunger,2
CharlesBronson,J.LeeThompson,2
LisaEilbacher,J.leethompson,2
AndrewStevens,J.leethompson,2
GeneDavis,J.leethompson,2
GeoffreyLewis,J.leethompson,2
WilfordBrimley,J.leethompson,2
StevenStrait,RolandEmmerich,2
CamillaBelle,Rolandemmerich,2
CliffCurtis,Rolandemmerich,2
JoelVirgel,Rolandemmerich,2
AffifBenBadra,Rolandemmerich,2
MoZinal,Rolandemmerich,2
NathanaelBaring,Rolandemmerich,2
MonaHammond,Rolandemmerich,2
OmarSharif,Rolandemmerich,2
HenryIanCusick,DavidGidali,2
DavidChokachi,Davidgidali,2
JeffreyJones,Davidgidali,2
KristenDalton,Davidgidali,2
CameronRichardson,Davidgidali,2
LondonGrace,BrettDejager,2
LondonGrace,MaxGroah,2
LondonGrace,JohnHaleIii,2
LondonGrace,ZaneHershberger,2
LondonGrace,RobertLanphere,2
LondonGrace,JenniferNangle,2
LondonGrace,ToryVanBuskirk,2
LondonGrace,StephenWolfe,2
JenniferNangle,Brettdejager,2
JenniferNangle,Maxgroah,2
JenniferNangle,Johnhaleiii,2
JenniferNangle,Zanehershberger,2
JenniferNangle,Robertlanphere,2
JenniferNangle,Jennifernangle,2
JenniferNangle,Toryvanbuskirk,2
JenniferNangle,Stephenwolfe,2
AnastasiaElfman,Brettdejager,2
AnastasiaElfman,Maxgroah,2
AnastasiaElfman,Johnhaleiii,2
AnastasiaElfman,Zanehershberger,2
AnastasiaElfman,Robertlanphere,2
AnastasiaElfman,Jennifernangle,2
AnastasiaElfman,Toryvanbuskirk,2
AnastasiaElfman,Stephenwolfe,2
DavidE.Mcmahon,Brettdejager,2
DavidE.Mcmahon,Maxgroah,2
DavidE.Mcmahon,Johnhaleiii,2
DavidE.Mcmahon,Zanehershberger,2
DavidE.Mcmahon,Robertlanphere,2
DavidE.Mcmahon,Jennifernangle,2
DavidE.Mcmahon,Toryvanbuskirk,2
DavidE.Mcmahon,Stephenwolfe,2
R.j.Wagner,Brettdejager,2
R.j.Wagner,Maxgroah,2
R.j.Wagner,Johnhaleiii,2
R.j.Wagner,Zanehershberger,2
R.j.Wagner,Robertlanphere,2
R.j.Wagner,Jennifernangle,2
R.j.Wagner,Toryvanbuskirk,2
R.j.Wagner,Stephenwolfe,2
ColinEgglesfield,RavinGandhi,2
HeidiJohanningmeier,Ravingandhi,2
GideonEmery,Ravingandhi,2
YanceyArias,Ravingandhi,2
ChrisJohnson,Ravingandhi,2
JonathanTucker,MichaelDavis,2
EmmanuelleChriqui,Michaeldavis,2
JamesDebello,Michaeldavis,2
KatherineHeigl,Michaeldavis,2
JaimePressly,Michaeldavis,2
MarissaRibisi,Michaeldavis,2
GlennPlummer,RodS.Scott,2
DwayneAdway,Rods.scott,2
ManeRichAndrew,Rods.scott,2
SkiCarr,Rods.scott,2
CarlosCarrasco,Rods.scott,2
WayneCollins,Rods.scott,2
Sydney'bigDawg'Colston,Rods.scott,2
KenoK.Deary,Rods.scott,2
McEiht,Rods.scott,2
LarryB.Scott,Rods.scott,2
NigelThatch,Rods.scott,2
DaniRovira,MarcelBarrena,2
KarraElejalde,Marcelbarrena,2
AlexandraJiménez,Marcelbarrena,2
DavidVerdaguer,Marcelbarrena,2
ClaraSegura,Marcelbarrena,2
AlbaRibas,Marcelbarrena,2
BrunoBergonzini,Marcelbarrena,2
RicardoPereira,Marcelbarrena,2
ManuelaCouto,Marcelbarrena,2
MarcBalaguer,Marcelbarrena,2
IdrisElba,JimO'hanlon,2
GemmaArterton,Jimo'hanlon,2
CharlieCreed-miles,Jimo'hanlon,2
FranzDrameh,Jimo'hanlon,2
KierstonWareing,Jimo'hanlon,2
TomCullen,Jimo'hanlon,2
KenStott,Jimo'hanlon,2
