Origem,Destino,Peso
Ragavendraprasad,Pavithra,2
Ragavendraprasad,Rohini,2
Ragavendraprasad,RaviRaghavendra,2
IzuOjukwu,RamseyNouah,2
Izuojukwu,RitaDominic,2
Izuojukwu,ChidiMokeme,2
Izuojukwu,IbinaboFiberesima,2
Izuojukwu,DanielK.Daniel,2
Izuojukwu,MemrySavanhu,2
Izuojukwu,AdonijahOwiriwa,2
Izuojukwu,PatNebo,2
Izuojukwu,NellyEkwereogu,2
Izuojukwu,ShuaibuEbenesiAdams,2
Izuojukwu,DeboOguns,2
Izuojukwu,BenNwosu,2
Izuojukwu,AdaOfoegbu,2
Onir,GeetanjaliThapa,2
Onir,ZainKhanDurrani,2
Onir,ShrayRaiTiwari,2
Onir,MonaAmbegaonkar,2
Onir,ChandreyeeGhosh,2
Onir,BarunChanda,2
Onir,SahebBhattacharjee,2
Onir,ShefaliChauhan,2
VijayMilton,Samuthirakani,2
VijayMilton,Vikram,2
Vijaymilton,BharathSeeni,2
Vijaymilton,Vinoth,2
Vijaymilton,EsakkiBarath,2
Vijaymilton,ChembanVinodJose,2
Vijaymilton,GauthamMenon,2
Vijaymilton,KrishaKurup,2
Vijaymilton,Subiksha,2
Vijaymilton,SamanthaRuthPrabhu,2
Vijaymilton,Pasupathy,1
Vijaymilton,RahulDev,2
Vijaymilton,AbhimanyuSingh,2
SantwanaBardoloi,AdilHussain,2
Santwanabardoloi,ShakilImtiaz,2
Santwanabardoloi,MahendraRabha,2
Santwanabardoloi,SulakshanaBaruah,2
Santwanabardoloi,RahulGautamSarma,2
Santwanabardoloi,KuladaBhattacharjya,2
Santwanabardoloi,InduMohanDas,2
Santwanabardoloi,MoumitaTalukdar,2
AtanuGhosh,SoumitraChatterjee,2
Atanughosh,PrasenjitChatterjee,2
Atanughosh,IndraniHaldar,2
Atanughosh,SudiptaChakraborty,2
Atanughosh,SumanBanerjee,2
Atanughosh,GargiRoychowdhury,2
NishiChawla,UdayKrishna,2
Nishichawla,BethanyRishell,2
Nishichawla,LucyBond,2
Nishichawla,SanjayKumar,2
Marcwebb,ZooeyDeschanel,2
Marcwebb,GeoffreyArend,2
ChoIl,YooAh-in,2
Choil,ParkShin-hye,2
SabinaFedeli,HelenMirren,2
AnnaMigotto,HelenMirren,2
Sabinafedeli,GengherGatti,2
Annamigotto,GengherGatti,2
RakoPrijanto,AdipatiDolken,2
Rakoprijanto,VaneshaPrescilla,2
Rakoprijanto,RendiJhon,2
Rakoprijanto,BebyTsabina,2
Rakoprijanto,DeniraWiraguna,2
Rakoprijanto,RefalHady,2
Rakoprijanto,DiandraAgatha,2
Rakoprijanto,SariNila,2
Rakoprijanto,MawarDeJongh,2
Rakoprijanto,VonnyCornellya,2
Rakoprijanto,ClayGribble,2
Rakoprijanto,IvanLeonardy,2
Rakoprijanto,SarahSechan,2
Rakoprijanto,JourdyPranata,2
RojinThomas,Indrans,3
Rojinthomas,SreenathBhasi,3
Rojinthomas,VijayBabu,3
Rojinthomas,ManjuPillai,3
Rojinthomas,Neslin,3
Rojinthomas,KainakaryThankaraj,3
Rojinthomas,KpacLalitha,3
Rojinthomas,SrikanthMurali,3
Rojinthomas,JohnyAntony,3
Rojinthomas,PaulyWilson,3
Rojinthomas,ManiyanPillaiRaju,3
Rojinthomas,AnoopMenon,3
Rojinthomas,AjuVarghese,3
Rojinthomas,KiranAravindhakshan,3
Rojinthomas,Chithra,3
Rojinthomas,PriyankaNair,3
BrendanGabrielMurphy,TomPelphrey,2
Brendangabrielmurphy,NatalieHall,2
Brendangabrielmurphy,"Cliff""methodMan""Smith",2
Brendangabrielmurphy,MalcolmGoodwin,2
Brendangabrielmurphy,JoeyRusso,2
FernandoLebrija,NestaCooper,2
MichaelKennedy,JakeShort,2
Michaelkennedy,SarahFisher,2
Michaelkennedy,BoobooStewart,2
Michaelkennedy,DannyTrejo,2
Michaelkennedy,PippaMackie,2
Michaelkennedy,JakeSmith,2
Michaelkennedy,PatriciaZentilli,2
Michaelkennedy,CarterThicke,2
CristinaJacob,FlaviaHojda,2
CristinaJacob,MaiaMorgenstern,2
Cristinajacob,FlaviaHojda,3
Cristinajacob,CrinaSemciuc,3
Cristinajacob,OlimpiaMelinte,3
Cristinajacob,SaliLevent,3
Cristinajacob,VladLogigan,3
Cristinajacob,AlexCălin,3
Cristinajacob,AlinaChivulescu,2
Cristinajacob,RăzvanVasilescu,2
Cristinajacob,MariaDinulescu,2
Cristinajacob,SilviaBusuioc,2
Cristinajacob,MihaelaMihut,2
DanPartland,GeorgeConway,2
Danpartland,AnthonyScaramucci,2
Danpartland,BillKristol,2
Danpartland,MalcolmNance,2
Danpartland,RuthBen-ghiat,2
FrankAriza,EstefaníaDeLosSantos,2
Frankariza,SecunDeLaRosa,2
Frankariza,TerelePávez,2
Frankariza,MaríaAlfonsaRosso,2
Frankariza,MariolaFuentes,2
Frankariza,AlfonsoSánchez,2
Frankariza,PazVega,2
Frankariza,MartaTorné,2
Frankariza,ConchaGalán,2
Bradsilberling,PazVega,2
Bradsilberling,JonahHill,2
MuharremGülmez,ErdemYener,2
Muharremgülmez,AyhanTaş,2
Muharremgülmez,EminOlcay,2
Muharremgülmez,MuharremGülmez,2
Muharremgülmez,ElifNurKerkük,2
Muharremgülmez,TarıkPapuççuoğlu,2
Muharremgülmez,SuzanAksoy,2
Muharremgülmez,DoğaKonakoğlu,2
Muharremgülmez,EsinEden,2
Muharremgülmez,DenizÖzerman,2
ÓskarThórAxelsson,JóhannesHaukurJóhannesson,2
Óskarthóraxelsson,ÁgústaEvaErlendsdóttir,2
Óskarthóraxelsson,ElmaStefaniaAgustsdottir,2
Óskarthóraxelsson,ThorKristjansson,2
Óskarthóraxelsson,AnnaGunndísGuðmundsdóttir,2
Óskarthóraxelsson,SaraDöggÁsgeirsdóttir,2
Óskarthóraxelsson,ÞrösturLeóGunnarsson,2
Óskarthóraxelsson,JóhannSigurðarson,2
Óskarthóraxelsson,SveinnGeirsson,2
Óskarthóraxelsson,ArnarPállHarðarson,2
OzanAçıktan,AyçaErturan,2
Ozanaçıktan,AydanTaş,2
Ozanaçıktan,AyşegülAkdemir,2
Ozanaçıktan,BurcuGönder,2
Ozanaçıktan,BülentEmrahParlak,2
Ozanaçıktan,BüşraPekin,2
Ozanaçıktan,EmreCanpolat,2
Ozanaçıktan,ErsinKorkut,2
Ozanaçıktan,EserYenenler,2
Ozanaçıktan,GizemTuğral,2
Ozanaçıktan,GülhanTekin,2
Ozanaçıktan,GülsümAlkan,2
Ozanaçıktan,HamdiKahraman,2
Ozanaçıktan,İbrahimBüyükak,2
Ozanaçıktan,MetinKeçeci,2
KennethGyang,BeverlyOsu,2
Kennethgyang,SharonOoja,2
Kennethgyang,OmowunmiDada,2
Kennethgyang,PearlOkorie,2
Kennethgyang,WofaiSamuel,2
Kennethgyang,IkechukwuOnunaku,2
Kennethgyang,KemiLalaAkindoju,2
Kennethgyang,BlossomChukwujekwu,2
Kennethgyang,AdebukolaOladipupo,2
Kennethgyang,OmoniOboli,2
Kennethgyang,SegunArinze,2
Kennethgyang,AdaAmeh,2
Kennethgyang,SambasaNzeribe,2
Kennethgyang,PatrickDoyle,2
Kennethgyang,GregoryOjefua,2
KarynKusama,CharlizeTheron,2
Karynkusama,MartonCsokas,2
Karynkusama,JonnyLeeMiller,2
Karynkusama,SophieOkonedo,2
Karynkusama,FrancesMcdormand,2
Karynkusama,PetePostlethwaite,2
Karynkusama,AmeliaWarner,2
Karynkusama,CarolineChikezie,2
Karynkusama,NikolaiKinski,2
Karynkusama,PatersonJoseph,2
Karynkusama,YangzomBrauen,2
AdamDeyoe,LexiGiovagnoli,2
Adamdeyoe,JustinRay,2
Adamdeyoe,RaeLatt,2
Adamdeyoe,PoonamBasu,2
Adamdeyoe,TeresaBiter,2
Adamdeyoe,KalilahHarris,2
Adamdeyoe,AlexiaDox,2
Adamdeyoe,AdamPowell,2
Adamdeyoe,SeanMcbride,2
LeifTilden,BillyCrudup,2
Leiftilden,GrahamRogers,2
Leiftilden,LianaLiberato,2
Leiftilden,StefanieScott,2
Leiftilden,TimRoth,2
Leiftilden,MelanieLynskey,2
Leiftilden,ThomasCocquerel,2
Leiftilden,PeterCoyote,2
PenelopeLawson,LauraAshleySamuels,2
Penelopelawson,JennaUshkowitz,2
Penelopelawson,AlexandraDaddario,2
TomMorash,ShanleyCaswell,2
Tommorash,JeffDye,2
Tommorash,RomeFlynn,2
Tommorash,MarcGordon,2
Tommorash,AlexisIacono,2
Tommorash,JohnLerardi,2
Tommorash,AftonJillian,2
Tommorash,BrookeLewis,2
Tommorash,JermaineAlverezMartin,2
Tommorash,DrewMcanany,2
Tommorash,AmyPaffrath,2
Tommorash,AshleyPlatz,2
Tommorash,MattSchulte,2
Tommorash,RebeccaVinargo,2
Tommorash,BoYoungblood,2
MichaelC.Martin,JenaMalone,2
Michaelc.martin,JtAlexander,2
Michaelc.martin,DamonAlexander,2
Michaelc.martin,JoeMantegna,2
Michaelc.martin,ThomasIanNicholas,2
AdzeUgah,AyoMakun,2
Adzeugah,AdesuaEtomi,2
Adzeugah,RichardMofe-damijo,2
Adzeugah,MercyJohnson,2
Adzeugah,Falz,2
Adzeugah,TufaceIdibia,2
Adzeugah,ThenjiweMoseley,2
Adzeugah,MotlatsiMafatshe,2
Adzeugah,CelesteNtuli,2
Adzeugah,MiguelA.NúñezJr.,2
CrisD’amato,LuisLobianco,2
Crisd’amato,GiuliaBenite,2
Crisd’amato,PedroMiranda,2
Crisd’amato,LorenaQueiroz,2
Crisd’amato,KarinaRamil,2
BradSilberling,MorganFreeman,2
NicolasBrossette,FranckDubosc,2
Nicolasbrossette,ClaudeRich,2
Nicolasbrossette,MarieKremer,2
Nicolasbrossette,MathisTouré,2
Nicolasbrossette,Rufus,2
Nicolasbrossette,OlivierClaverie,2
JimWilmer,Anne-marieNewland,2
MarkKnight,Anne-marieNewland,3
BrianA.Miller,MichaelChiklis,3
Briana.miller,BruceWillis,3
Briana.miller,MeadowWilliams,3
Briana.miller,KyleSchmid,3
Briana.miller,LydiaHull,3
Briana.miller,LalaKent,2
Briana.miller,TexasBattle,2
Briana.miller,SwenTemmel,2
Briana.miller,JohnHickman,2
Briana.miller,SergioRizzuto,2
Briana.miller,TylerJonOlson,2
RichardFleischer,RichardAttenborough,2
GilJunger,HeathLedger,2
Michaeldavis,LarisaOleynik,2
Michaeldavis,EmmanuelleChriqui,2
Michaeldavis,JamesDebello,2
Michaeldavis,KatherineHeigl,2
Michaeldavis,JaimePressly,2
Michaeldavis,MarissaRibisi,2
J.LeeThompson,CharlesBronson,2
J.leethompson,LisaEilbacher,2
J.leethompson,AndrewStevens,2
J.leethompson,GeneDavis,2
J.leethompson,GeoffreyLewis,2
J.leethompson,WilfordBrimley,2
DavidGidali,HenryIanCusick,2
Davidgidali,DavidChokachi,2
Davidgidali,JeffreyJones,2
Davidgidali,KristenDalton,2
Davidgidali,CameronRichardson,2
BrettDejager,LondonGrace,2
MaxGroah,LondonGrace,2
JohnHaleIii,LondonGrace,2
ZaneHershberger,LondonGrace,2
RobertLanphere,LondonGrace,2
JenniferNangle,LondonGrace,2
ToryVanBuskirk,LondonGrace,2
StephenWolfe,LondonGrace,2
Brettdejager,JenniferNangle,2
Brettdejager,AnastasiaElfman,2
Brettdejager,DavidE.Mcmahon,2
Brettdejager,R.j.Wagner,2
Maxgroah,JenniferNangle,2
Maxgroah,AnastasiaElfman,2
Maxgroah,DavidE.Mcmahon,2
Maxgroah,R.j.Wagner,2
Johnhaleiii,JenniferNangle,2
Johnhaleiii,AnastasiaElfman,2
Johnhaleiii,DavidE.Mcmahon,2
Johnhaleiii,R.j.Wagner,2
Zanehershberger,JenniferNangle,2
Zanehershberger,AnastasiaElfman,2
Zanehershberger,DavidE.Mcmahon,2
Zanehershberger,R.j.Wagner,2
Robertlanphere,JenniferNangle,2
Robertlanphere,AnastasiaElfman,2
Robertlanphere,DavidE.Mcmahon,2
Robertlanphere,R.j.Wagner,2
Jennifernangle,JenniferNangle,2
Jennifernangle,AnastasiaElfman,2
Jennifernangle,DavidE.Mcmahon,2
Jennifernangle,R.j.Wagner,2
Toryvanbuskirk,JenniferNangle,2
Toryvanbuskirk,AnastasiaElfman,2
Toryvanbuskirk,DavidE.Mcmahon,2
Toryvanbuskirk,R.j.Wagner,2
Stephenwolfe,JenniferNangle,2
Stephenwolfe,AnastasiaElfman,2
Stephenwolfe,DavidE.Mcmahon,2
Stephenwolfe,R.j.Wagner,2
RavinGandhi,ColinEgglesfield,2
Ravingandhi,HeidiJohanningmeier,2
Ravingandhi,GideonEmery,2
Ravingandhi,YanceyArias,2
Ravingandhi,ChrisJohnson,2
MichaelDavis,JonathanTucker,2
RodS.Scott,GlennPlummer,2
Rods.scott,DwayneAdway,2
Rods.scott,ManeRichAndrew,2
Rods.scott,SkiCarr,2
Rods.scott,CarlosCarrasco,2
Rods.scott,WayneCollins,2
Rods.scott,Sydney'bigDawg'Colston,2
Rods.scott,KenoK.Deary,2
Rods.scott,McEiht,2
Rods.scott,LarryB.Scott,2
Rods.scott,NigelThatch,2
MarcelBarrena,DaniRovira,2
Marcelbarrena,KarraElejalde,2
Marcelbarrena,AlexandraJiménez,2
Marcelbarrena,DavidVerdaguer,2
Marcelbarrena,ClaraSegura,2
Marcelbarrena,AlbaRibas,2
Marcelbarrena,BrunoBergonzini,2
Marcelbarrena,RicardoPereira,2
Marcelbarrena,ManuelaCouto,2
Marcelbarrena,MarcBalaguer,2
JimO'hanlon,IdrisElba,2
Jimo'hanlon,GemmaArterton,2
Jimo'hanlon,CharlieCreed-miles,2
Jimo'hanlon,FranzDrameh,2
Jimo'hanlon,KierstonWareing,2
Jimo'hanlon,TomCullen,2
Jimo'hanlon,KenStott,2
